id,situacao,loja,pedido,valor do pedido,cidade,logistica,data,entrada,vendedor,tranferencia,faturamento,data/hora faturamento,unnamed: 13,responsavel,saida,entregue data,entregue hora,pedidos para entregar: 696,pgt entrega?,observação,veículo,recolheu,hora recolhida,valor_numerico
3302,NORMAL,HC,12608521,"R$ 999,00",TAMBORIL,ENTREGUE,2026-05-08,07:39:00,LIMA,Transferido,Faturado,05/08/2026 07:41:50,,JULIO,,26/08/26,11:04,,,,KIA BONGO,,,999.0
3315,NORMAL,HC,12608571,"R$ 235,50",NOVO ORIENTE,ENTREGUE,2026-05-08,12:47:00,MASCILON,Transferido,Faturado,05/08/2026 12:48:33,,VICTOR,,18/08/26,14:02,,,,(N) ACELLO 815 156 CV,,,235.5
3339,NORMAL,HC,12608643,"R$ 666,00",BURITI DOS MONTES,ENTREGUE,2026-06-08,09:25:00,MASCILON,Transferido,Faturado,06/08/2026 09:28:26,,,,,,,,,,,,666.0
3341,NORMAL,HC,12608649,"R$ 44,70",BURITI DOS MONTES,ENTREGUE,2026-06-08,09:55:00,MASCILON,Transferido,Faturado,06/08/2026 09:55:55,,,,,,,,,,,,44.7
3351,NORMAL,HC,12608673,"R$ 3.660,00",NOVA RUSSAS,ENTREGUE,2026-06-08,12:42:00,LIMA,Transferido,Faturado,06/08/2026 12:42:44,,,,07/08/26,13:06,,,,,,,3660.0
3352,NORMAL,HC,12608676,"R$ 1.960,00",MONTE NEBO,ENTREGUE,2026-06-08,12:48:00,CAMILA,Transferido,Faturado,06/08/2026 12:48:15,,VICTOR,,13/08/26,12:23,,,,(N) ACELLO 815 156 CV,ZEZINHO,07/08/2026 09:05:47,1960.0
3356,NORMAL,NLC,8507108,"R$ 3.110,00",IPAPORANGA,ENTREGUE,2026-06-08,14:29:00,GEISI,Transferido,Faturado,06/08/2026 14:29:40,,VICTOR,,11/08/26,14:30,,,,(N) ACELLO 815 156 CV,,,3110.0
3358,CARRO HORARIO,NLC,8507110,"R$ 535,00",BURITI DOS MONTES,ENTREGUE,2026-06-08,15:19:00,GEISI,Transferido,Faturado,07/08/2026 07:44:09,,,,,,,,,,,,535.0
3363,NORMAL,HC,12608715,"R$ 44,70",BURITI DOS MONTES,ENTREGUE,2026-06-08,17:47:00,MASCILON,Transferido,Faturado,06/08/2026 17:47:38,,,,,,,,,,,,44.7
3366,TOPIQUE,HC,12608725,"R$ 158,00",TAMBORIL,ENTREGUE,2026-06-08,07:53:00,CAMILA,Transferido,Faturado,07/08/2026 07:53:31,,,,,,,,,,ZEZINHO,07/08/2026 09:01:22,158.0
3381,NORMAL,HC,12608758,"R$ 6.328,17",PORANGA,AGENDADA,2026-07-08,16:24:00,MASCILON,Transferido,Faturado,07/08/2026 18:05:28,,,,,,,,,,FELIPE,10/08/2026 15:27:37,6328.17
3384,NORMAL,HC,12608774,"R$ 5.373,51",NOVO ORIENTE,ENTREGUE,2026-07-08,14:55:00,CAMILA,Transferido,Faturado,07/08/2026 14:59:01,,,,,,,,,,FELIPE,11/08/2026 10:52:24,5373.51
3386,NORMAL,HC,12608778,"R$ 348,00",ARARENDA,ENTREGUE,2026-07-08,15:38:00,CAMILA,Transferido,Faturado,07/08/2026 15:38:44,,VICTOR,,11/08/26,16:08,,,,(N) ACELLO 815 156 CV,FELIPE,11/08/2026 10:53:40,348.0
3390,NORMAL,HC,12608799,"R$ 3.821,92",MONTE NEBO,ENTREGUE,2026-07-08,17:35:00,MASCILON,Transferido,Faturado,07/08/2026 17:36:08,,VICTOR,,13/08/26,13:00,,,,(N) ACELLO 815 156 CV,FELIPE,10/08/2026 17:03:10,3821.92
3395,NORMAL,HC,12608813,"R$ 432,90",TUCUNS,ENTREGUE,2026-08-08,08:50:00,LIMA,Transferido,Faturado,08/08/2026 08:53:43,,,,08/08/26,09:36,,,,,FELIPE,10/08/2026 08:19:51,432.9
